ID,mother_occupation,father_occupation,gender,Daytime_evening_attendance,Target
0,6,10,1,1,Dropout
1,4,4,1,1,Graduate
2,10,10,1,1,Dropout
3,6,4,0,1,Graduate
4,10,10,0,0,Graduate
5,10,8,1,0,Graduate
6,8,11,0,1,Graduate
7,10,10,1,1,Dropout
8,10,10,0,1,Graduate
9,5,8,0,1,Dropout
10,6,8,0,1,Graduate
11,10,10,0,1,Graduate
12,5,10,0,1,Dropout
13,5,8,0,1,Graduate
14,6,6,0,1,Graduate
15,10,4,0,1,Dropout
17,6,5,0,1,Graduate
18,4,6,0,1,Graduate
20,10,9,0,1,Graduate
22,2,2,0,1,Graduate
23,5,8,0,1,Graduate
24,4,8,0,1,Graduate
26,8,9,0,1,Graduate
28,10,10,0,1,Graduate
31,16,22,1,1,Graduate
33,10,6,0,0,Graduate
34,4,10,1,0,Graduate
35,10,7,1,1,Dropout
36,1,1,1,1,Dropout
37,7,7,0,1,Dropout
38,10,4,0,0,Graduate
39,4,7,0,1,Dropout
40,3,3,0,1,Dropout
41,3,8,0,1,Graduate
42,3,3,0,1,Graduate
43,6,6,0,1,Dropout
44,10,10,0,0,Dropout
46,10,10,0,1,Graduate
47,8,8,0,1,Graduate
48,10,10,0,0,Graduate
49,10,10,0,1,Graduate
50,10,8,0,1,Graduate
53,12,12,0,1,Graduate
54,10,10,0,0,Dropout
55,6,6,0,1,Graduate
56,5,4,0,1,Dropout
57,3,3,0,1,Dropout
58,8,11,0,1,Graduate
60,10,10,0,1,Graduate
61,10,10,0,1,Graduate
65,6,6,1,1,Dropout
66,6,4,1,1,Graduate
67,10,10,1,1,Graduate
68,8,8,1,1,Dropout
71,9,5,1,1,Graduate
72,6,11,1,1,Dropout
73,6,8,1,1,Dropout
74,10,10,1,1,Graduate
75,5,8,1,1,Dropout
76,8,8,1,1,Dropout
77,10,9,1,1,Graduate
78,10,10,1,1,Graduate
79,10,7,1,0,Graduate
80,10,10,1,1,Dropout
81,3,3,1,0,Dropout
82,5,3,1,1,Dropout
84,10,7,0,0,Graduate
85,10,8,0,1,Graduate
86,5,6,0,1,Graduate
87,5,1,1,1,Graduate
90,5,11,1,1,Dropout
91,10,10,0,1,Graduate
92,5,5,0,1,Dropout
93,1,1,0,1,Dropout
94,10,10,0,0,Graduate
96,6,6,0,1,Graduate
97,8,8,0,1,Graduate
99,3,3,0,1,Dropout
100,10,10,0,1,Dropout
101,10,11,0,1,Graduate
102,7,6,0,0,Dropout
103,10,7,0,1,Graduate
104,10,8,0,1,Dropout
105,3,9,0,1,Graduate
106,5,8,0,1,Dropout
107,5,5,0,1,Dropout
108,5,4,0,1,Dropout
110,7,8,0,1,Graduate
112,10,10,0,1,Graduate
113,5,8,0,1,Graduate
114,10,10,0,1,Dropout
118,10,8,0,1,Graduate
119,5,6,0,1,Graduate
120,5,6,0,1,Dropout
121,10,8,0,1,Graduate
122,3,10,0,1,Dropout
123,10,10,0,1,Graduate
124,5,8,0,1,Graduate
125,5,6,0,1,Dropout
126,10,10,0,1,Graduate
128,6,4,0,1,Graduate
129,9,10,0,1,Graduate
130,6,9,0,1,Dropout
131,10,10,0,1,Graduate
132,5,9,0,1,Graduate
133,4,4,0,1,Dropout
134,10,8,0,1,Graduate
135,4,10,0,1,Dropout
136,6,6,0,1,Graduate
137,20,39,0,1,Graduate
139,5,9,0,1,Graduate
140,10,10,0,1,Graduate
141,5,5,0,1,Graduate
143,10,11,0,1,Graduate
144,10,8,0,1,Graduate
145,6,7,0,1,Graduate
146,10,10,0,1,Dropout
147,10,11,0,1,Dropout
148,3,11,0,1,Graduate
149,10,10,0,1,Graduate
151,5,8,0,1,Graduate
153,10,10,0,1,Graduate
154,3,6,0,1,Dropout
155,7,7,0,1,Dropout
156,10,10,0,1,Graduate
157,8,10,0,1,Graduate
158,10,11,0,1,Graduate
159,7,9,0,0,Graduate
160,5,2,0,1,Dropout
161,10,8,0,1,Graduate
162,10,10,0,1,Graduate
163,5,5,0,1,Dropout
164,6,5,0,1,Graduate
165,8,8,0,1,Graduate
167,8,9,0,1,Graduate
168,2,2,0,1,Graduate
169,5,9,0,1,Dropout
171,4,11,0,1,Graduate
172,5,6,0,1,Graduate
