ID,marital_status,Nacionality,Application_mode,Course,Previous_qualification,Mother_qualification,Father_qualification
0,1,1,8,2,1,13,10
1,1,1,6,11,1,1,3
2,1,1,1,5,1,22,27
3,1,1,8,15,1,23,27
4,2,1,12,3,1,22,28
5,2,1,12,17,12,22,27
6,1,1,1,12,1,13,28
7,1,1,9,11,1,22,27
8,1,15,1,10,1,1,1
9,1,1,1,10,1,1,14
10,1,1,1,14,1,23,14
11,1,1,1,12,1,13,28
12,1,1,1,16,1,13,27
13,1,1,17,11,16,1,1
14,1,1,1,6,1,23,27
15,1,1,1,15,1,13,27
17,1,1,8,12,1,13,1
18,1,1,1,8,1,3,14
20,1,1,1,2,1,1,1
22,1,1,1,12,1,13,14
23,1,1,1,14,1,1,28
24,1,1,1,12,1,13,14
26,1,1,8,10,1,13,28
28,1,1,1,9,1,13,1
31,1,1,16,5,1,27,3
33,1,1,9,3,1,13,1
34,1,1,1,17,1,2,27
35,1,1,12,1,1,23,27
36,1,1,12,7,8,19,27
37,1,1,14,9,1,22,27
38,4,1,12,17,1,13,14
39,1,3,15,8,14,4,4
40,1,1,1,15,1,3,3
41,1,1,1,9,1,3,14
42,1,1,1,12,1,1,3
43,1,1,8,15,1,1,28
44,1,1,12,17,1,22,27
46,1,1,8,10,1,13,14
47,1,1,8,12,1,22,14
48,1,1,15,3,14,1,14
49,1,1,1,10,1,22,28
50,1,1,12,11,1,13,28
53,1,1,1,8,1,22,27
54,1,1,12,17,1,23,28
55,1,1,1,12,1,1,14
56,2,1,4,11,3,1,3
57,1,1,12,8,15,3,3
58,1,1,8,12,1,23,28
60,1,1,1,12,1,13,14
61,1,1,15,10,14,13,1
65,4,1,13,12,12,1,1
66,1,1,1,2,1,13,14
67,1,1,15,4,14,13,27
68,1,1,1,9,1,1,28
71,1,1,8,12,1,22,14
72,1,1,1,2,1,13,14
73,1,1,8,11,1,23,27
74,1,1,1,15,1,23,28
75,1,1,8,9,1,13,14
76,1,1,9,11,1,13,27
77,1,1,8,15,1,1,14
78,1,1,8,12,1,23,27
79,2,1,12,3,1,22,27
80,1,1,1,16,1,13,14
81,1,1,12,17,2,3,3
82,1,1,12,4,4,3,3
84,2,1,12,3,1,22,27
85,1,1,13,12,1,22,28
86,1,1,12,14,1,1,14
87,1,1,8,5,1,13,28
90,1,1,12,12,1,1,1
91,1,14,8,15,1,13,1
92,1,14,6,8,1,1,1
93,2,1,12,16,8,22,24
94,2,1,12,3,1,22,14
96,1,1,1,15,1,22,1
97,1,1,1,12,1,22,27
99,1,1,1,12,1,3,3
100,1,1,17,6,16,23,28
101,1,1,1,2,1,1,1
102,2,1,12,3,1,22,27
103,4,1,12,4,9,22,27
104,1,1,9,16,1,13,14
105,1,1,16,5,1,3,1
106,1,1,1,10,1,22,28
107,1,1,1,6,1,1,1
108,1,1,1,12,1,3,4
110,1,1,1,10,1,22,27
112,1,1,1,6,1,13,14
113,1,1,1,15,1,1,28
114,1,1,8,12,1,22,27
118,1,1,1,6,1,22,28
119,1,1,1,9,1,2,14
120,1,1,8,11,1,1,1
121,1,1,1,9,1,13,14
122,1,1,1,2,1,3,14
123,1,1,1,14,1,23,28
124,1,1,1,6,1,13,28
125,1,1,8,13,1,1,1
126,1,1,15,6,14,22,27
128,1,1,8,10,1,1,29
129,1,1,8,12,1,1,27
130,1,1,1,12,1,13,14
131,1,1,8,5,1,22,27
132,1,1,1,9,1,1,14
133,1,1,8,12,1,1,14
134,1,1,14,10,1,23,27
135,1,1,1,14,1,1,28
136,1,1,8,14,1,13,14
137,1,1,1,15,1,1,1
139,1,1,9,12,1,13,1
140,1,1,1,12,1,22,27
141,1,1,1,15,1,13,1
143,1,1,1,10,1,1,10
144,1,1,1,12,1,13,14
145,1,1,8,16,1,22,28
146,1,1,1,11,1,10,14
147,1,1,8,11,1,1,27
148,1,1,1,9,1,3,14
149,1,1,1,12,1,1,14
151,1,1,1,6,1,1,28
153,1,1,1,16,1,22,27
154,1,1,14,16,1,3,27
155,1,1,1,16,1,23,27
156,1,1,1,9,1,23,28
157,1,1,8,10,1,1,27
158,1,1,1,10,1,13,1
159,1,1,12,3,1,1,14
160,1,1,1,14,1,13,1
161,1,1,1,12,1,13,27
162,1,1,1,12,1,13,14
163,1,1,8,16,1,10,10
164,1,1,8,14,1,1,14
165,1,1,8,15,1,13,27
167,1,1,8,10,1,13,14
168,1,1,12,12,3,2,2
169,1,1,14,10,1,13,14
171,1,1,8,13,1,22,27
172,1,1,8,12,1,2,28
173,1,1,13,3,1,13,2
174,1,1,8,11,1,22,27
176,1,1,12,16,1,22,14
177,1,1,1,12,1,19,24
178,1,1,1,16,1,22,14
179,1,1,4,12,3,1,1
180,1,1,14,16,1,3,1
182,1,1,12,15,12,13,14
183,1,1,9,5,1,1,27
184,1,1,8,11,1,1,14
185,1,1,9,9,1,3,3
187,1,1,8,12,1,23,1
188,1,1,12,6,1,1,14
189,1,1,8,5,1,1,3
190,1,1,1,11,1,13,28
192,1,1,12,9,1,10,3
193,1,1,16,16,1,1,1
194,1,1,1,12,1,23,28
195,1,1,12,17,15,13,1
196,1,1,9,12,1,22,27
197,1,1,4,7,3,3,2
198,1,1,1,16,1,13,14
200,1,1,1,6,1,1,1
201,1,1,1,10,1,13,14
202,1,1,1,12,1,13,14
203,1,1,15,10,14,23,28
204,1,1,8,10,1,13,27
205,1,1,1,10,1,19,24
206,1,1,1,12,1,13,28
207,1,1,1,15,1,3,14
208,1,1,1,6,1,13,1
209,1,1,12,11,12,3,14
210,1,1,1,12,1,23,1
211,1,1,1,12,1,22,27
212,1,1,14,8,1,1,3
213,1,1,12,17,1,22,27
214,1,1,14,15,1,1,1
216,1,1,9,9,1,13,3
217,1,1,12,3,1,13,27
218,1,1,12,3,1,1,14
219,1,1,8,6,1,13,27
220,1,1,1,9,1,23,28
221,2,1,1,16,1,22,27
222,1,1,1,11,1,1,1
223,1,1,16,12,1,13,1
224,1,1,9,12,1,1,28
225,2,1,4,17,17,25,5
226,2,1,4,9,3,1,4
227,1,1,1,10,1,1,1
228,1,1,12,14,1,19,24
229,1,1,14,12,1,1,1
230,1,1,1,11,1,1,27
231,1,1,12,11,3,13,14
232,1,1,1,14,1,1,3
233,1,1,1,11,1,1,27
234,1,1,1,9,1,22,1
235,1,1,1,10,1,23,27
236,1,1,1,16,1,13,14
237,1,1,8,10,1,22,27
238,1,1,1,8,1,13,1
239,1,1,12,6,12,13,14
242,1,1,1,9,1,22,14
243,1,1,12,9,1,22,1
244,1,1,1,9,1,23,14
245,1,1,4,12,3,13,28
246,1,1,8,12,1,13,27
247,1,1,15,4,14,22,27
248,1,1,1,11,1,13,27
249,1,1,1,14,1,13,1
251,1,1,1,15,1,23,27
252,1,1,1,6,1,7,14
254,1,1,8,9,1,1,1
255,2,1,12,13,12,23,27
256,1,1,8,17,15,22,27
258,1,1,1,10,1,1,1
259,1,1,14,10,1,1,1
260,1,1,1,11,1,22,28
261,1,1,12,3,1,22,27
262,1,1,14,7,1,22,28
263,1,1,1,10,1,1,1
264,1,1,1,10,1,23,14
265,1,1,1,15,1,3,1
266,1,1,8,12,1,4,1
267,1,1,1,15,1,23,28
268,1,1,1,5,1,22,27
269,1,1,1,12,1,1,1
270,1,1,15,4,14,22,28
271,1,1,1,9,1,1,14
272,1,1,8,9,1,10,14
273,1,1,1,12,1,5,1
274,1,1,1,10,1,1,28
275,1,1,8,12,1,10,1
