ID,mother_occupation,father_occupation,gender,Daytime_evening_attendance,Target,marital_status,Nacionality,Application_mode,Course,Previous_qualification,Mother_qualification,Father_qualification
0,6,10,1,1,Dropout,1,1,8,2,1,13,10
1,4,4,1,1,Graduate,1,1,6,11,1,1,3
2,10,10,1,1,Dropout,1,1,1,5,1,22,27
3,6,4,0,1,Graduate,1,1,8,15,1,23,27
4,10,10,0,0,Graduate,2,1,12,3,1,22,28
5,10,8,1,0,Graduate,2,1,12,17,12,22,27
6,8,11,0,1,Graduate,1,1,1,12,1,13,28
7,10,10,1,1,Dropout,1,1,9,11,1,22,27
8,10,10,0,1,Graduate,1,15,1,10,1,1,1
9,5,8,0,1,Dropout,1,1,1,10,1,1,14
10,6,8,0,1,Graduate,1,1,1,14,1,23,14
11,10,10,0,1,Graduate,1,1,1,12,1,13,28
12,5,10,0,1,Dropout,1,1,1,16,1,13,27
13,5,8,0,1,Graduate,1,1,17,11,16,1,1
14,6,6,0,1,Graduate,1,1,1,6,1,23,27
15,10,4,0,1,Dropout,1,1,1,15,1,13,27
17,6,5,0,1,Graduate,1,1,8,12,1,13,1
18,4,6,0,1,Graduate,1,1,1,8,1,3,14
20,10,9,0,1,Graduate,1,1,1,2,1,1,1
22,2,2,0,1,Graduate,1,1,1,12,1,13,14
23,5,8,0,1,Graduate,1,1,1,14,1,1,28
24,4,8,0,1,Graduate,1,1,1,12,1,13,14
26,8,9,0,1,Graduate,1,1,8,10,1,13,28
28,10,10,0,1,Graduate,1,1,1,9,1,13,1
31,16,22,1,1,Graduate,1,1,16,5,1,27,3
33,10,6,0,0,Graduate,1,1,9,3,1,13,1
34,4,10,1,0,Graduate,1,1,1,17,1,2,27
35,10,7,1,1,Dropout,1,1,12,1,1,23,27
36,1,1,1,1,Dropout,1,1,12,7,8,19,27
37,7,7,0,1,Dropout,1,1,14,9,1,22,27
38,10,4,0,0,Graduate,4,1,12,17,1,13,14
39,4,7,0,1,Dropout,1,3,15,8,14,4,4
40,3,3,0,1,Dropout,1,1,1,15,1,3,3
41,3,8,0,1,Graduate,1,1,1,9,1,3,14
42,3,3,0,1,Graduate,1,1,1,12,1,1,3
43,6,6,0,1,Dropout,1,1,8,15,1,1,28
44,10,10,0,0,Dropout,1,1,12,17,1,22,27
46,10,10,0,1,Graduate,1,1,8,10,1,13,14
47,8,8,0,1,Graduate,1,1,8,12,1,22,14
48,10,10,0,0,Graduate,1,1,15,3,14,1,14
49,10,10,0,1,Graduate,1,1,1,10,1,22,28
50,10,8,0,1,Graduate,1,1,12,11,1,13,28
53,12,12,0,1,Graduate,1,1,1,8,1,22,27
54,10,10,0,0,Dropout,1,1,12,17,1,23,28
55,6,6,0,1,Graduate,1,1,1,12,1,1,14
56,5,4,0,1,Dropout,2,1,4,11,3,1,3
57,3,3,0,1,Dropout,1,1,12,8,15,3,3
58,8,11,0,1,Graduate,1,1,8,12,1,23,28
60,10,10,0,1,Graduate,1,1,1,12,1,13,14
61,10,10,0,1,Graduate,1,1,15,10,14,13,1
65,6,6,1,1,Dropout,4,1,13,12,12,1,1
66,6,4,1,1,Graduate,1,1,1,2,1,13,14
67,10,10,1,1,Graduate,1,1,15,4,14,13,27
68,8,8,1,1,Dropout,1,1,1,9,1,1,28
71,9,5,1,1,Graduate,1,1,8,12,1,22,14
72,6,11,1,1,Dropout,1,1,1,2,1,13,14
73,6,8,1,1,Dropout,1,1,8,11,1,23,27
74,10,10,1,1,Graduate,1,1,1,15,1,23,28
75,5,8,1,1,Dropout,1,1,8,9,1,13,14
76,8,8,1,1,Dropout,1,1,9,11,1,13,27
77,10,9,1,1,Graduate,1,1,8,15,1,1,14
78,10,10,1,1,Graduate,1,1,8,12,1,23,27
79,10,7,1,0,Graduate,2,1,12,3,1,22,27
80,10,10,1,1,Dropout,1,1,1,16,1,13,14
81,3,3,1,0,Dropout,1,1,12,17,2,3,3
82,5,3,1,1,Dropout,1,1,12,4,4,3,3
84,10,7,0,0,Graduate,2,1,12,3,1,22,27
85,10,8,0,1,Graduate,1,1,13,12,1,22,28
86,5,6,0,1,Graduate,1,1,12,14,1,1,14
87,5,1,1,1,Graduate,1,1,8,5,1,13,28
90,5,11,1,1,Dropout,1,1,12,12,1,1,1
91,10,10,0,1,Graduate,1,14,8,15,1,13,1
92,5,5,0,1,Dropout,1,14,6,8,1,1,1
93,1,1,0,1,Dropout,2,1,12,16,8,22,24
94,10,10,0,0,Graduate,2,1,12,3,1,22,14
96,6,6,0,1,Graduate,1,1,1,15,1,22,1
97,8,8,0,1,Graduate,1,1,1,12,1,22,27
99,3,3,0,1,Dropout,1,1,1,12,1,3,3
100,10,10,0,1,Dropout,1,1,17,6,16,23,28
101,10,11,0,1,Graduate,1,1,1,2,1,1,1
102,7,6,0,0,Dropout,2,1,12,3,1,22,27
103,10,7,0,1,Graduate,4,1,12,4,9,22,27
104,10,8,0,1,Dropout,1,1,9,16,1,13,14
105,3,9,0,1,Graduate,1,1,16,5,1,3,1
106,5,8,0,1,Dropout,1,1,1,10,1,22,28
107,5,5,0,1,Dropout,1,1,1,6,1,1,1
108,5,4,0,1,Dropout,1,1,1,12,1,3,4
110,7,8,0,1,Graduate,1,1,1,10,1,22,27
112,10,10,0,1,Graduate,1,1,1,6,1,13,14
113,5,8,0,1,Graduate,1,1,1,15,1,1,28
114,10,10,0,1,Dropout,1,1,8,12,1,22,27
118,10,8,0,1,Graduate,1,1,1,6,1,22,28
119,5,6,0,1,Graduate,1,1,1,9,1,2,14
120,5,6,0,1,Dropout,1,1,8,11,1,1,1
121,10,8,0,1,Graduate,1,1,1,9,1,13,14
122,3,10,0,1,Dropout,1,1,1,2,1,3,14
123,10,10,0,1,Graduate,1,1,1,14,1,23,28
124,5,8,0,1,Graduate,1,1,1,6,1,13,28
125,5,6,0,1,Dropout,1,1,8,13,1,1,1
126,10,10,0,1,Graduate,1,1,15,6,14,22,27
128,6,4,0,1,Graduate,1,1,8,10,1,1,29
129,9,10,0,1,Graduate,1,1,8,12,1,1,27
130,6,9,0,1,Dropout,1,1,1,12,1,13,14
131,10,10,0,1,Graduate,1,1,8,5,1,22,27
132,5,9,0,1,Graduate,1,1,1,9,1,1,14
133,4,4,0,1,Dropout,1,1,8,12,1,1,14
134,10,8,0,1,Graduate,1,1,14,10,1,23,27
135,4,10,0,1,Dropout,1,1,1,14,1,1,28
136,6,6,0,1,Graduate,1,1,8,14,1,13,14
137,20,39,0,1,Graduate,1,1,1,15,1,1,1
139,5,9,0,1,Graduate,1,1,9,12,1,13,1
